State (HQ),Firm,HQ City,Firm Type,Website,Gov Sector Strengths,2025 Standing / Source,CEU Fit,Priority,Angle / Entry Notes,Assigned Rep Agency,Status,Course to Book,Target Office / City,Contact Name,Contact Title,Contact Email / Phone,Outreach Date,L&L Date,Next Action,Notes
IL,Perkins&Will,Chicago,Architecture,perkinswill.com,Government / federal,#4 Government Building Architecture (2025),FED,Tier 3,Design-led giant; MEP partners carry lighting specs.,,Not Started,,,,,,,,,
IL,Primera Engineers,Chicago,MEP/Electrical Engineering,primeraeng.com,Government buildings,#78 Government Building Engineering (2025),FED,Tier 2,"Mid-size, electrically strong; easier booking than the giants.",,Not Started,,,,,,,,,
IN,BSA LifeStructures,Indianapolis,A/E (Integrated),bsalifestructures.com,VA / healthcare,National healthcare design practice,FED,Tier 2,Healthcare/VA design with in-house engineering.,,Not Started,,,,,,,,,
IN,Elevatus Architecture,Fort Wayne,Architecture,(verify domain),Corrections / county jails,Top 10 Justice Facility Architecture (2025); #5 (2023),COR,Tier 1,County jail volume leader.,,Not Started,,,,,,,,,
IN,Guidon Design,Indianapolis,"A/E (Integrated, SDVOSB)",guidondesign.com,VA / federal,#3 VA Facility Architecture (2025),FED,Tier 1,SDVOSB VA specialist; in-house MEP.,,Not Started,,,,,,,,,
KS,Black & Veatch,Overland Park,Engineering (multi),bv.com,Military / federal infrastructure,#4 Military Facility Engineering (2025),FED,Tier 3,Mostly heavy infrastructure; office-level only.,,Not Started,,,,,,,,,
KS,Hoefer Welker,Leawood,A/E (Integrated),hoeferwelker.com,Justice / VA / federal,#13 VA Facility Architecture (2024); active justice practice,FED+COR,Tier 1,Dual-course fit; KC-region base with national growth.,,Not Started,,,,,,,,,
KS,Treanor,Lawrence,Architecture,(verify domain),Justice / corrections,National justice practice,COR,Tier 1,Dedicated justice studio.,,Not Started,,,,,,,,,
KY,CMTA (Legence),Louisville,MEP Engineering,cmta.com,Federal / institutional,National MEP; federal & institutional practice,FED,Tier 1,High-performance MEP; energy-driven specs favor quality LED submittals.,,Not Started,,,,,,,,,
KY,Luckett & Farley,Louisville,A/E (Integrated),luckett-farley.com,Federal / industrial,Established Louisville A/E,FED,Tier 2,Federal/industrial base near Fort Knox territory.,,Not Started,,,,,,,,,
KY,Mason & Hanger,Lexington,A/E (Integrated),masonandhanger.com,Federal secure / hardened / DoD / DoS,#8 Federal Gov Building Engineering; Top 10 Military Engineering (2025),FED,Tier 1,Best single content match for the Federal Secure Facilities HSW. Pairs with Fort Knox/Campbell playbook.,,Not Started,,,,,,,,,
LA,Bernhard,Metairie,MEP Engineering,bernhard.com,Federal healthcare / VA,National MEP + energy-as-a-service,FED,Tier 2,VA/healthcare MEP presence across the South.,,Not Started,,,,,,,,,
MA,CDM Smith,Boston,Engineering (multi),cdmsmith.com,Federal (USACE) / environmental,Major federal engineering firm,FED,Tier 3,Water/environmental-led; buildings subset.,,Not Started,,,,,,,,,
MA,PAYETTE,Boston,Architecture,payette.com,VA / federal healthcare & science,Top 10 VA Facility Architecture (2025),FED,Tier 2,Healthcare/science design firm with VA standing.,,Not Started,,,,,,,,,
MD,Jensen Hughes,Baltimore,Specialty Engineering (fire/life safety),jensenhughes.com,Justice / federal life safety,Top Justice Facility Engineering (2024),COR,Tier 3,Influences egress/emergency lighting criteria only.,,Not Started,,,,,,,,,
MD,Mueller Associates,Baltimore,MEP Engineering,muellerassoc.com,Federal / institutional / cultural,Established MEP consultant,FED,Tier 2,Federal/institutional MEP in the NCR orbit.,,Not Started,,,,,,,,,
MD,Prime AE Group,Baltimore,A/E (Integrated),primeeng.com,Federal / justice / municipal,Growing multi-office A/E,FED+COR,Tier 2,Mid-Atlantic/Midwest public-sector coverage.,,Not Started,,,,,,,,,
MD,RMF Engineering,Baltimore,MEP Engineering,rmf.com,Federal / campus utilities,#6 Federal Gov Building Engineering (2025),FED,Tier 1,Pure engineering firm with top-10 federal standing.,,Not Started,,,,,,,,,
MD,"Whitman, Requardt & Associates",Baltimore,A/E (Integrated),wrallp.com,Military / federal,Top 10 Military Facility Architecture (2025),FED,Tier 1,Mid-Atlantic military A/E; in-house MEP.,,Not Started,,,,,,,,,
MI,SmithGroup,Detroit,A/E (Integrated),smithgroup.com,Federal / VA / GSA,Top 10 Federal Architecture; Top 5 VA Architecture (2025),FED,Tier 1,Integrated A/E with in-house MEP and federal studio.,,Not Started,,,,,,,,,
MN,BKV Group,Minneapolis,A/E (Integrated),bkvgroup.com,Public safety / justice / municipal,National public-safety design practice,COR,Tier 2,Police/fire/justice focus with in-house MEP.,,Not Started,,,,,,,,,
MN,Dunham,Minneapolis,MEP Engineering,dunhameng.com,Healthcare / VA,Regional healthcare MEP leader,FED,Tier 2,Healthcare/VA MEP in Upper Midwest.,,Not Started,,,,,,,,,
MN,HGA,Minneapolis,A/E (Integrated),hga.com,VA / federal healthcare,National healthcare + government practice,FED,Tier 1,In-house engineering; VA healthcare flow.,,Not Started,,,,,,,,,
MN,KFI Engineers,St. Paul,MEP Engineering,kfi-eng.com,Federal / VA / institutional,Regional MEP with federal work,FED,Tier 2,Upper Midwest federal MEP.,,Not Started,,,,,,,,,
MN,Klein McCarthy Architects,Minneapolis,Architecture,kleinmccarthy.com,Justice / corrections specialist,Dedicated justice design firm,COR,Tier 1,Justice-pure practice; fast booking.,,Not Started,,,,,,,,,
MN,Wold Architects and Engineers,St. Paul,A/E (Integrated),woldae.com,Justice / county government,Top 10 Justice Facility Architecture (2025),COR,Tier 2,County justice volume in Upper Midwest.,,Not Started,,,,,,,,,
MO,BNIM,Kansas City,Architecture,bnim.com,GSA / federal,National GSA design portfolio,FED,Tier 2,High-performance federal design work.,,Not Started,,,,,,,,,
MO,Burns & McDonnell,Kansas City,EA (Integrated),burnsmcd.com,Federal / military,#5 Federal Engineering; #2 Military Engineering (2025),FED,Tier 1,Employee-owned EA giant; KC HQ booking + office-level pursuit elsewhere.,,Not Started,,,,,,,,,
MO,HOK,St. Louis,Architecture,hok.com,Justice / federal,#2 Justice Facility Architecture; Top 10 Federal Architecture (2025),FED+COR,Tier 2,Justice studio is the entry; bring partner MEPs into the same L&L.,,Not Started,,,,,,,,,
MT,Cushing Terrell,Billings,A/E (Integrated),cushingterrell.com,VA / federal,Top 10 VA Facility Engineering (2025),FED,Tier 2,Mountain-West VA coverage; in-house engineering.,,Not Started,,,,,,,,,
NE,Alesia Architecture,Omaha,Architecture (SDVOSB),alesiaarchitecture.com,VA / government / healthcare,#7 VA Facility Architecture (2025); 23-person SDVOSB,FED,Tier 1,"Smallest firm on the VA arch list = fastest booking. Omaha VA design cluster (with LEO A DALY, HDR, DLR, SES, Alvine).",,Not Started,,,,,,,,,
NE,Alvine Engineering,Omaha,MEP Engineering,alvine.com,Federal / VA / institutional,Established federal MEP consultant,FED,Tier 1,Omaha MEP with federal/VA practice.,,Not Started,,,,,,,,,
NE,DLR Group,Omaha (multi-office),A/E (Integrated),dlrgroup.com,Justice #1 / civic,#1 Justice Facility Architecture (2025),COR,Tier 1,The national corrections design leader. Kenall's home turf - your corrections HSW is the counter-move.,,Not Started,,,,,,,,,
NE,Farris Engineering,Omaha,MEP Engineering,(verify domain),Federal / institutional,Regional MEP,FED,Tier 2,Rounds out the Omaha cluster.,,Not Started,,,,,,,,,
NE,HDR,Omaha,A/E (Integrated),hdrinc.com,Military #1 arch / federal / justice / VA,#1 Military Architecture; top-10 federal; top-5 justice (2025),FED+COR,Tier 1,Broadest sector coverage on this list; Kenall's corrections terrain - get there first.,,Not Started,,,,,,,,,
NE,LEO A DALY,Omaha,A/E (Integrated),leoadaly.com,VA #1 arch / justice / federal,#1 VA Facility Architecture 7 straight years; Top 10 Justice (2025),FED+COR,Tier 1,"VA design leader (2,000+ VA task orders); in-house engineering.",,Not Started,,,,,,,,,
NE,Schemmer,Omaha,A/E (Integrated),schemmer.com,Federal / municipal,Regional A/E with federal work,FED,Tier 2,Omaha-based federal coverage.,,Not Started,,,,,,,,,
NE,Specialized Engineering Solutions,Omaha,MEP Engineering,(verify domain),VA / federal healthcare,#2 VA Facility Engineering (2025),FED,Tier 1,Small VA-focused MEP punching far above its weight.,,Not Started,,,,,,,,,
NM,Dekker (Dekker Perich Sabatini),Albuquerque,A/E (Integrated),(verify domain),Federal (Kirtland AFB / Sandia orbit),Regional federal A/E,FED,Tier 2,New Mexico federal/DoE adjacency.,,Not Started,,,,,,,,,
NY,Arup US,New York,Engineering (multi),arup.com,Government buildings,#5 Government Building Engineering (2025),FED,Tier 3,Elite consulting engineer; project-specific entry.,,Not Started,,,,,,,,,
NY,CannonDesign,New York (multi),A/E (Integrated),cannondesign.com,VA / federal healthcare,National healthcare + federal practice,FED,Tier 2,VA healthcare design with in-house engineering.,,Not Started,,,,,,,,,
NY,Perkins Eastman,New York,Architecture,perkinseastman.com,VA / senior living / healthcare,National healthcare design practice,FED,Tier 2,VA and state veterans-home work.,,Not Started,,,,,,,,,
NY,STV,New York,EA (Integrated),stvinc.com,Justice / federal / transit,#3 Justice Facility Engineering (2025),COR,Tier 1,Justice engineering leader in the Northeast corridor.,,Not Started,,,,,,,,,
NY,"Skidmore, Owings & Merrill (SOM)",New York / Chicago,Architecture,som.com,"Federal (GSA, embassies, courthouses)",Top 5 Federal Gov Building Architecture (2025),FED,Tier 3,Signature federal work; spec control shared with consulting MEPs.,,Not Started,,,,,,,,,
NY,Syska Hennessy Group,New York,MEP Engineering,syska.com,Justice / federal / mission critical,Top 10 Justice Facility Engineering (2025),FED+COR,Tier 1,Blue-chip MEP; specs flow through their standards group.,,Not Started,,,,,,,,,
NY,Urbahn Architects,New York,Architecture,urbahn.com,Justice / civic / federal,Top 10 Justice Facility Architecture (2025),COR,Tier 2,NYC-region justice work.,,Not Started,,,,,,,,,
NY,WSP USA,New York,Engineering (multi),wsp.com,Federal / military / VA,#3 Federal Engineering; top-10 military & VA engineering (2025),FED,Tier 3,Giant; pursue via specific building-MEP offices.,,Not Started,,,,,,,,,
National (Canada HQ),Stantec,"Edmonton, AB (US offices nationwide)",A/E (Integrated),stantec.com,Federal / military / justice,Top 5 Federal Arch; #2 Military Arch; #3 Justice Arch (2025),FED+COR,Tier 2,Top-5 in all three of your sectors; execution is office-by-office through reps.,,Not Started,,,,,,,,,
OH,DLZ,Columbus,A/E (Integrated),dlz.com,Federal / justice / municipal,Regional multi-office A/E,FED+COR,Tier 2,Ohio/Midwest public-sector base.,,Not Started,,,,,,,,,
OH,HEAPY,Dayton,MEP Engineering,heapy.com,VA / federal / healthcare,Top 10 VA Facility Engineering (2025),FED,Tier 1,Dayton HQ next to WPAFB - stack with the WPAFB playbook trips.,,Not Started,,,,,,,,,
OH,Karpinski Engineering,Cleveland,MEP Engineering,karpinskieng.com,VA / healthcare,Regional healthcare MEP,FED,Tier 2,Cleveland VA/healthcare MEP.,,Not Started,,,,,,,,,
OH,Osborn Engineering,Cleveland,Engineering (multi),osborn-eng.com,Federal / VA / institutional,Long-established engineering firm,FED,Tier 2,Ohio federal/VA coverage.,,Not Started,,,,,,,,,
OH,SSOE Group,Toledo,EA (Integrated),ssoe.com,Industrial / federal,Top 10 Engineering Architecture Firms (2025),FED,Tier 2,Industrial EA giant. NOTE: also a food/bev design leader - dual-use when F&B course targeting starts.,,Not Started,,,,,,,,,
OH,Woolpert,Dayton,A/E + Geospatial,woolpert.com,Federal / DoD (AF heavy),National federal A/E and USAF legacy,FED,Tier 2,WPAFB-adjacent; AF relationships run deep.,,Not Started,,,,,,,,,
OK,Benham (Haskell),Oklahoma City,A/E (Integrated),(verify domain),Federal / industrial,Legacy federal design-build A/E,FED,Tier 2,Now under Haskell; federal design roots in OKC/Tulsa.,,Not Started,,,,,,,,,
OK,FSB (Frankfurt Short Bruza),Oklahoma City,A/E (Integrated),fsb-ae.com,Federal / DoD (Tinker AFB orbit),Established DoD design firm,FED,Tier 1,OKC military design leader; second OK anchor for ULA Oklahoma.,,Not Started,,,,,,,,,
OK,Guernsey,Oklahoma City,A/E (Integrated),guernsey.us,Federal / DoD / tribal,Established federal A/E (DoD IDIQs),FED,Tier 1,Pair with ULA Oklahoma (Tier 1R rep) for a joint push.,,Not Started,,,,,,,,,
OR,Interface Engineering,Portland,MEP Engineering,interfaceengineering.com,Federal / institutional,West Coast MEP with federal work,FED,Tier 2,Pacific Northwest federal MEP.,,Not Started,,,,,,,,,
OR,ZGF Architects,Portland,Architecture,zgf.com,Federal (GSA/courthouse),Top 10 Federal Gov Building Architecture (2025),FED,Tier 3,Design-led; MEP outside.,,Not Started,,,,,,,,,
PA,AE Works,Pittsburgh,A/E (Integrated),aeworks.com,VA / federal secure,#2 VA Facility Architecture (2025),FED,Tier 1,"HOME FIELD: Pittsburgh VA specialist ranked #2 nationally. Book personally, first.",(direct - Doyle),In Scheduling,FED,"Pittsburgh, PA",(verify EE lead at booking),Director of Engineering,via aeworks.com contact form,2026-07-30,,Confirm August date + AV needs,EXAMPLE ROW - overwrite with real data
PA,Buchart Horn,York,A/E (Integrated),(verify domain),Federal / DoD / municipal,Established PA A/E,FED,Tier 2,Central PA federal coverage.,,Not Started,,,,,,,,,
PA,CJL Engineering,Moon Township (Pittsburgh),MEP Engineering,cjlengineering.com,Healthcare / institutional / VA,Regional MEP,FED,Tier 2,Home-region MEP; easy first-mile booking.,,Not Started,,,,,,,,,
PA,EwingCole,Philadelphia,A/E (Integrated),ewingcole.com,Federal (FDA / VA / DoD),Major federal A/E practice,FED,Tier 1,Philadelphia federal design anchor; in-house MEP.,,Not Started,,,,,,,,,
PA,GFT (formerly Gannett Fleming),Camp Hill (Harrisburg),Engineering (multi),gannettfleming.com,Military / federal infrastructure,Top 10 Military Facility Engineering (2025),FED,Tier 1,"PA firm, drivable; rebranded to GFT in 2024.",,Not Started,,,,,,,,,
PA,H.F. Lenz,Johnstown,MEP Engineering,hflenz.com,Federal / VA / institutional,Established MEP consultant,FED,Tier 2,Western PA MEP with federal/VA record.,,Not Started,,,,,,,,,
PA,Larson Design Group,Williamsport,A/E (Integrated),larsondesigngroup.com,Military / federal,Top 10 Military Facility Architecture (2025),FED,Tier 1,PA firm; growing federal practice.,,Not Started,,,,,,,,,
PA,Michael Baker International,Pittsburgh (Moon Twp),Engineering (multi),mbakerintl.com,Federal / military,#7 Federal Engineering; #6 Military Engineering (2025),FED,Tier 1,HOME FIELD: HQ in your backyard. Pilot the L&L format here.,,Not Started,,,,,,,,,
PA,NELSON Worldwide,Philadelphia (multi),Architecture,nelsonworldwide.com,Justice / civic,Top 5 Justice Facility Architecture (2025),COR,Tier 2,Confirm which office carries the justice practice.,,Not Started,,,,,,,,,
PA,Pennoni,Philadelphia,Engineering (multi),pennoni.com,Federal / institutional,Regional multi-discipline engineering,FED,Tier 2,Mid-Atlantic federal coverage.,,Not Started,,,,,,,,,
SC,LS3P Associates,Charleston,Architecture,ls3p.com,Military / federal (Southeast),Top 10 Military Facility Architecture (2025),FED,Tier 2,Southeast military bases coverage.,,Not Started,,,,,,,,,
TBD (verify),Above Group,(verify HQ),Engineering,(verify domain),VA,#3 VA Facility Engineering (2025),FED,Tier 1,VERIFY HQ/site - #3 VA engineering standing makes this worth 10 minutes of research.,,Not Started,,,,,,,,,
TBD (verify),CB Design Group,(verify HQ),Engineering,(verify domain),VA,#4 VA Facility Engineering (2025),FED,Tier 1,VERIFY HQ/site - #4 VA engineering standing.,,Not Started,,,,,,,,,
TN,Allen & Hoshall,Memphis,Engineering (multi),allenhoshall.com,Federal / municipal,Regional engineering with federal work,FED,Tier 2,Mid-South federal coverage.,,Not Started,,,,,,,,,
TN,Barge Design Solutions,Nashville,A/E (Integrated),bargedesign.com,Federal / DoD,Regional federal A/E,FED,Tier 2,Tennessee Valley federal coverage.,,Not Started,,,,,,,,,
TN,Gresham Smith,Nashville,A/E (Integrated),greshamsmith.com,Federal / healthcare / aviation,National multi-market A/E,FED,Tier 2,Healthcare/federal crossover.,,Not Started,,,,,,,,,
TN,SSR (Smith Seckman Reid),Nashville,MEP Engineering,ssr-inc.com,Federal healthcare / VA,National healthcare/VA MEP practice,FED,Tier 1,Healthcare MEP heavyweight; VA project flow.,,Not Started,,,,,,,,,
TX,AECOM,Dallas,A/E (Integrated),aecom.com,Federal #2 eng / justice #1 eng / military #3,#2 Federal Eng; #1 Justice Eng; #3 Military Eng (2025),FED+COR,Tier 3,Top-3 in every sector you sell into - attack office-by-office through reps.,,Not Started,,,,,,,,,
TX,Fluor,Irving,EPC / Engineering,fluor.com,Federal #1 eng (program/EPC),#1 Federal Gov Building Engineering (2025),FED,Tier 3,EPC/program delivery - lowest lighting-spec leverage of the giants.,,Not Started,,,,,,,,,
TX,HKS,Dallas,Architecture,hksinc.com,VA / federal healthcare,Top 10 VA Facility Architecture (2025),FED,Tier 2,VA healthcare standing.,,Not Started,,,,,,,,,
TX,Huitt-Zollars,Dallas,A/E (Integrated),huitt-zollars.com,Federal / municipal,Regional A/E with federal work,FED,Tier 2,Texas federal coverage.,,Not Started,,,,,,,,,
TX,Jacobs,Dallas,Engineering (multi),jacobs.com,Military #1 eng / federal,#1 Military Facility Engineering; #4 Federal Engineering (2025),FED,Tier 3,"Giant upside, office-level execution only.",,Not Started,,,,,,,,,
TX,Marmon Mok,San Antonio,Architecture,marmonmok.com,Military (JBSA),San Antonio military market firm,FED,Tier 2,JBSA is one of the largest DoD concentrations in the country.,,Not Started,,,,,,,,,
TX,Page,Austin (major DC office),A/E (Integrated),pagethink.com,Federal #1 arch / military / VA,#1 Federal Architecture; #2 VA Architecture (2023); Top 10 Military (2025),FED,Tier 1,Top federal architecture firm with in-house engineering; DC office is the center of gravity.,,Not Started,,,,,,,,,
TX,Parkhill,Lubbock,A/E (Integrated),parkhill.com,Federal / municipal,Regional A/E,FED,Tier 2,West Texas / NM federal-municipal base.,,Not Started,,,,,,,,,
TX,Walter P Moore,Houston,Engineering (structural-led),walterpmoore.com,Justice,Top 10 Justice Facility Engineering (2025),COR,Tier 3,Primarily structural - limited lighting spec influence.,,Not Started,,,,,,,,,
VA,Clark Nexsen,Virginia Beach,A/E (Integrated),clarknexsen.com,Federal / NAVFAC / DoD,Established NAVFAC/DoD A/E leader,FED,Tier 1,Direct tie to your J-875 submittal machinery and Navy pipeline.,,Not Started,,,,,,,,,
VA,Dewberry,Fairfax,A/E (Integrated),dewberry.com,Justice #5 eng / federal / VA,#5 Justice Facility Engineering (2025),FED+COR,Tier 1,Full-service federal A/E with justice engineering standing; NCR base.,,Not Started,,,,,,,,,
VA,Moseley Architects,Richmond,A/E (Integrated),moseleyarchitects.com,Corrections / justice (state & county),Top 10 Justice Facility Architecture 2025; #4 (2024),COR,Tier 1,Mid-Atlantic corrections volume leader; in-house engineering.,,Not Started,,,,,,,,,
VA,Parsons,Chantilly,Engineering (multi),parsons.com,Federal / defense / security,Major defense engineering firm,FED,Tier 3,Defense/security-led; facility design subset.,,Not Started,,,,,,,,,
VA,RRMM Architects,Norfolk,Architecture,rrmm.com,Navy / DoD / municipal,Hampton Roads Navy-market firm,FED,Tier 2,Navy installation orbit; pairs with Clark Nexsen territory.,,Not Started,,,,,,,,,
VA,Wiley|Wilson,Lynchburg,A/E (Integrated),wileywilson.com,Federal / DoD / VA,Established federal A/E,FED,Tier 1,Virginia federal A/E; in-house electrical.,,Not Started,,,,,,,,,
WA,Blue Trident,Bainbridge Island (Seattle),Engineering / Design-Build (SDVOSB),blue-trident.com,VA / Navy / DoD,"#7 VA Facility Engineering (2025); SDVOSB, 8(a) graduate",FED,Tier 2,Civil/structural-led design-build; real VA/DoD award pipeline ($41M+ federal awards) but limited lighting-spec desk.,,Not Started,,,,,,,,,
WA,Coffman Engineers,Seattle,MEP+ Engineering,coffman.com,Federal / DoD (incl. Pacific),National multi-discipline with federal practice,FED,Tier 1,In-house electrical; federal work across West/Pacific.,,Not Started,,,,,,,,,
WA,KPFF Consulting Engineers,Seattle,Engineering (structural/civil-led),kpff.com,Government / justice / VA,Top 10 Gov Building Engineering; justice & VA ranked (2025),FED+COR,Tier 3,Structural/civil-led - low lighting leverage.,,Not Started,,,,,,,,,
WI,Affiliated Engineers (AEI),Madison,MEP Engineering,aeieng.com,Federal #9 eng / labs / healthcare,#9 Federal Gov Building Engineering (2025),FED,Tier 1,Elite technical MEP; federal lab/healthcare specs.,,Not Started,,,,,,,,,
WI,Mead & Hunt,Madison,A/E (Integrated),meadhunt.com,Military / aviation / federal,National military & aviation practice,FED,Tier 2,Military aviation facilities niche.,,Not Started,,,,,,,,,
WV,Silling Architects,Charleston,Architecture,(verify domain),Justice / courts,Regional justice/courts practice,COR,Tier 2,Courts/justice work in WV/Mid-Atlantic.,,Not Started,,,,,,,,,
